name,country,designation,polyID,point,Acanthixalus_spinosus,Afrixalus_dorsalis,Afrixalus_fulvovittatus,Afrixalus_laevis,Afrixalus_paradorsalis,Afrixalus_quadrivittatus,Afrixalus_vittiger,Afrixalus_weidholzi,Alexteroon_hypsiphonus,Amietophrynus_camerunensis,Amietophrynus_djohongensis,Amietophrynus_gracilipes,Amietophrynus_latifrons,Amietophrynus_maculatus,Amietophrynus_regularis,Amietophrynus_steindachneri,Amietophrynus_superciliaris,Amietophrynus_togoensis,Amietophrynus_tuberosus,Amietophrynus_xeros,Arthroleptis_adelphus,Arthroleptis_poecilonotus,Arthroleptis_sylvaticus,Arthroleptis_variabilis,Astylosternus_diadematus,Astylosternus_laurenti,Astylosternus_montanus,Astylosternus_occidentalis,Astylosternus_rheophilus,Aubria_occidentalis,Bufo_pentoni,Cardioglossa_gracilis,Cardioglossa_leucomystax,Cardioglossa_nigromaculata,Cardioglossa_pulchra,Chiromantis_rufescens,Chlorolius_koehleri,Conraua_alleni,Conraua_crassipes,Conraua_robusta,Geotrypetes_seraphini,Hemisus_guineensis,Hemisus_marmoratus,Herpele_squalostoma,Hildebrandtia_ornata,Hoplobatrachus_occipitalis,Hylarana_albolabris,Hylarana_amnicola,Hylarana_asperrima,Hylarana_galamensis,Hylarana_lepus,Hylarana_longipes,Hylarana_occidentalis,Hymenochirus_boettgeri,Hyperolius_balfouri,Hyperolius_baumanni,Hyperolius_bolifambae,Hyperolius_chlorosteus,Hyperolius_concolor,Hyperolius_fusciventris,Hyperolius_guttulatus,Hyperolius_igbettensis,Hyperolius_lamottei,Hyperolius_nasutus,Hyperolius_nitidulus,Hyperolius_ocellatus,Hyperolius_picturatus,Hyperolius_riggenbachi,Hyperolius_tuberculatus,Hyperolius_viridiflavus,Hyperolius_zonatus,Idiocranium_russeli,Kassina_arboricola,Kassina_cassinoides,Kassina_fusca,Kassina_maculosa,Kassina_schioetzi,Kassina_senegalensis,Leptodactylodon_bicolor,Leptodactylodon_ovatus,Leptodactylodon_perreti,Leptodactylodon_polyacanthus,Leptopelis_aubryi,Leptopelis_boulengeri,Leptopelis_brevirostris,Leptopelis_bufonides,Leptopelis_calcaratus,Leptopelis_macrotis,Leptopelis_millsoni,Leptopelis_modestus,Leptopelis_nordequatorialis,Leptopelis_notatus,Leptopelis_occidentalis,Leptopelis_omissus,Leptopelis_viridis,Nectophryne_afra,Nectophryne_batesii,Nyctibates_corrugatus,Opisthothylax_immaculatus,Petropedetes_natator,Petropedetes_newtoni,Petropedetes_parkeri,Phlyctimantis_boulengeri,Phrynobatrachus_africanus,Phrynobatrachus_alleni,Phrynobatrachus_auritus,Phrynobatrachus_batesii,Phrynobatrachus_calcaratus,Phrynobatrachus_cornutus,Phrynobatrachus_cricogaster,Phrynobatrachus_francisci,Phrynobatrachus_fraterculus,Phrynobatrachus_guineensis,Phrynobatrachus_gutturosus,Phrynobatrachus_hylaios,Phrynobatrachus_latifrons,Phrynobatrachus_liberiensis,Phrynobatrachus_natalensis,Phrynobatrachus_phyllophilus,Phrynobatrachus_plicatus,Phrynobatrachus_sandersoni,Phrynobatrachus_steindachneri,Phrynobatrachus_tokba,Phrynobatrachus_villiersi,Phrynobatrachus_werneri,Phrynomantis_microps,Ptychadena_aequiplicata,Ptychadena_bibroni,Ptychadena_longirostris,Ptychadena_oxyrhynchus,Ptychadena_pujoli,Ptychadena_pumilio,Ptychadena_schillukorum,Ptychadena_stenocephala,Ptychadena_straeleni,Ptychadena_superciliaris,Ptychadena_tellinii,Ptychadena_tournieri,Ptychadena_trinodis,Pyxicephalus_edulis,Scotobleps_gabonicus,Silurana_tropicalis,Tomopterna_cryptotis,Xenopus_fraseri,Xenopus_laevis,Xenopus_muelleri,WDPAID,iucn_cat
Diogoure,GIN,Classified Forest,24,polygon,None,None,None,None,None,None,NC,NC,None,None,None,None,None,None,NC,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,Inc,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,None,Inc,NC,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,None,None,NC,None,Dec,None,None,None,None,None,None,None,NC,None,NC,None,NC,None,NC,NC,None,None,None,Inc,NC,NC,None,None,NC,None,None,None,None,29371,Not Reported
Disue River,GHA,Forest Reserve,129,polygon,None,NC,None,None,None,None,Inc,None,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,None,None,NC,None,None,None,None,None,NC,None,None,Dec,None,None,NC,None,None,None,None,Dec,Dec,None,None,None,NC,NC,None,None,Inc,None,None,NC,None,None,None,None,None,NC,NC,NC,NC,None,None,None,None,NC,None,None,None,None,None,NC,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,Inc,None,None,None,None,None,None,None,NC,None,NC,None,None,NC,None,None,None,None,None,NC,None,NC,NC,None,None,NC,None,None,NC,NC,None,None,Dec,NC,NC,Inc,None,NC,None,None,None,NC,None,None,None,None,None,NC,None,None,None,None,40836,Not Reported
Divana,NGA,Forest Reserve,562,polygon,None,None,None,None,None,NC,None,NC,None,None,None,None,None,NC,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,Dec,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,Inc,None,NC,Dec,None,None,None,NC,None,NC,NC,None,Inc,NC,None,None,NC,36501,Not Reported
Divo,CIV,Botanical Reserve,1,polygon,None,NC,None,None,None,None,NC,None,None,None,None,None,None,Dec,Dec,None,None,NC,None,None,None,NC,None,Dec,None,None,None,None,None,NC,None,None,Dec,None,None,Dec,None,None,None,None,Dec,Dec,None,None,None,NC,Dec,None,None,Inc,None,None,None,None,None,None,None,NC,NC,Dec,Dec,Inc,None,None,Inc,None,NC,None,None,None,NC,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,Inc,None,None,None,None,None,None,None,NC,None,NC,None,None,NC,None,None,None,None,None,NC,None,NC,NC,None,None,NC,None,None,None,NC,None,Inc,Dec,NC,NC,Inc,None,NC,None,None,None,NC,None,NC,None,None,None,NC,None,None,None,None,7390,Not Reported
Dixinn,GIN,Classified Forest,8,polygon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29335,Not Reported
Djamde,TGO,Faunal Reserve,29,polygon,None,None,None,None,None,None,NC,NC,None,None,None,None,None,NC,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,NC,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Inc,None,None,NC,None,None,None,None,None,None,None,None,Inc,NC,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,Dec,None,None,Dec,None,NC,None,Dec,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,Inc,None,None,None,NC,None,NC,None,None,NC,None,None,None,Dec,20976,IV
Djangoumerila,MLI,Wildlife Reserve,25,polygon,None,None,None,None,None,None,NC,NC,None,None,None,None,None,NC,NC,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,NC,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,NC,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,NC,None,NC,NC,None,None,None,NC,None,NC,None,None,NC,None,None,None,None,555556065,IV
Djemegni,TGO,Forest Reserve,8,polygon,None,Inc,None,None,None,None,NC,None,None,None,None,None,None,Dec,Dec,None,None,NC,None,None,None,Dec,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,None,NC,Inc,None,None,NC,None,None,None,None,None,NC,None,None,NC,Dec,Inc,NC,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,NC,None,NC,None,Inc,None,None,None,None,None,None,None,Dec,Dec,Dec,NC,Dec,None,NC,None,None,None,None,None,None,None,None,None,Dec,None,None,None,Inc,37144,Not Reported
Djibia,NGA,Forest Reserve,258,polygon,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,Inc,None,None,Inc,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,NC,Inc,None,None,None,None,None,NC,None,None,None,NC,None,None,Inc,36185,Not Reported
Djigbe,BEN,Classified Forest,3,polygon,None,None,None,None,None,None,NC,None,None,None,None,None,None,NC,NC,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,NC,NC,None,None,NC,Inc,None,None,NC,None,None,None,None,None,None,None,None,NC,Inc,Inc,NC,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,None,None,NC,Inc,NC,NC,NC,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,Inc,5161,Not Reported
Djimbera Bantiguel,GIN,Classified Forest,39,polygon,None,None,None,None,None,None,NC,NC,None,None,None,None,None,None,NC,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,NC,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,NC,None,None,None,None,NC,NC,None,None,NC,None,None,None,None,29391,Not Reported
Djinetoumanina,MLI,Wildlife Reserve,28,polygon,None,None,None,None,None,None,NC,NC,None,None,None,None,None,Inc,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,Dec,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,NC,None,NC,NC,None,None,None,NC,None,NC,None,None,NC,None,None,None,None,555556067,IV
Djona,BEN,Hunting Zone,7,polygon,None,None,None,None,None,None,Inc,Inc,None,None,None,None,None,NC,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,Dec,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,NC,None,Inc,None,None,None,None,None,None,None,NC,None,NC,None,NC,None,NC,Dec,None,None,None,NC,None,NC,None,None,None,None,None,None,NC,2252,VI
Djoudj National Bird Sanctuary,SEN,World Heritage Site,114,polygon,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,2578,Not Applicable
Djoudj,SEN,"Ramsar Site, Wetland of International Importance",12,polygon,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,68151,Not Applicable
Dodo Hills,SLE,Forest Reserve,15,polygon,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,Dec,Dec,None,None,NC,None,None,None,NC,None,None,None,None,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,None,Dec,Dec,Inc,None,None,NC,Dec,None,None,NC,None,None,None,None,None,None,None,NC,NC,NC,NC,None,NC,None,NC,None,NC,None,None,None,NC,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,NC,None,None,None,None,NC,None,None,None,None,NC,None,None,NC,None,None,None,NC,NC,None,None,NC,NC,Inc,NC,None,None,None,NC,None,None,None,None,NC,NC,None,None,NC,None,None,None,NC,None,NC,None,None,None,NC,None,None,None,None,29974,Not Reported
Dogan Dawa,NGA,Forest Reserve,443,polygon,None,None,None,None,None,None,None,Inc,None,None,None,None,None,Inc,NC,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,Inc,None,NC,None,None,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,Inc,None,None,None,NC,None,NC,NC,None,Inc,NC,None,None,NC,36375,Not Reported
