WDPA_ID,WDPA_NAME,COUNT_TOTAL_SPECIES,COUNT_CC_VULNERABLE_SPECIES,PERCENT_CC_VULNERABLE_SPECIES
303932,Forest Reserve (Name unknown7),628,113,17.99
303933,Forest Reserve (Name unknown8),635,115,18.11
303935,Zawli Hills,548,59,10.77
303936,Uppe Bli,542,56,10.33
303937,Ghira,536,59,11.01
303938,Navrongo North,546,59,10.81
303939,Karaka Plantation,570,67,11.75
303940,Ankwai East,579,58,10.02
303941,Bopong,556,59,10.61
303942,Kandenbelli,559,56,10.02
303943,Fumbesi,563,55,9.77
303944,Ambalalai,575,56,9.74
303945,Karanja,570,49,8.60
303946,Tanja,605,56,9.26
303947,Sephe,599,59,9.85
303948,Bilisu,582,55,9.45
303949,Sinsableswani,587,56,9.54
303950,Dunwli,600,62,10.33
303951,Kani kani,622,66,10.61
303952,Bia Tano Blk 1,703,118,16.79
303953,Bunkunaw,693,112,16.16
303954,Dechidan Stream,689,115,16.69
303955,Jimira Extension,696,126,18.10
303956,Neung North,668,133,19.91
303957,Obrachere,688,118,17.15
303958,Obrachere 1,687,117,17.03
303959,Laboni,600,59,9.83
303960,Bia Trans,690,114,16.52
303961,Subri River,728,143,19.64
303962,Tano Ofin Extension,703,124,17.64
313422,Toumousseni,551,52,9.44
313423,Yendere,553,48,8.68
313425,Sources de la Volta Noire,548,59,10.77
313427,Kua,533,60,11.26
313428,Nabere,544,66,12.13
313430,Bounou,522,65,12.45
313432,Bouahoum,523,64,12.24
313435,Kalio,532,67,12.59
313438,Ouoro,510,65,12.75
313440,Yabo,453,57,12.58
313441,Nakambe,528,61,11.55
313442,Kongouko,592,62,10.47
317051,Rio Grande de Buba,594,68,11.45
317192,Flawa,516,50,9.69
317193,Wongo,506,50,9.88
317194,Bafing,508,51,10.04
317195,Kouroufing,505,52,10.30
317286,Nialama (or Nyalama),524,49,9.35
317287,Souti-Yanfu,587,55,9.37
342470,Tadres,228,43,18.86
342473,Gambare,498,49,9.84
342474,Ewun Rafia,592,62,10.47
342475,Kurba,514,51,9.92
342477,Nasarawa,544,57,10.48
342479,Warwade,507,58,11.44
342480,Kwakuti,601,65,10.82
342656,Varela,601,69,11.48
342657,Pelundo,581,63,10.84
342658,Dungal,542,52,9.59
342659,Canjambari,548,51,9.31
342660,Sumbundo,545,51,9.36
342661,Canquelifa,526,47,8.94
342662,Mansoa,565,55,9.73
342670,Boé,593,55,9.27
342671,Ché Ché,603,56,9.29
342672,Salifo,571,54,9.46
